1,1441958400198,0,1,1,0,off-topic,1441958400198,148,51,just realised that year 12 &amp; uni is not gonna be easy. 2013 will be a massive bang bang year indeed.
2,1441958400248,0,1,1,0,off-topic,50,144,25,Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr
3,1441958400248,1,1,1,1,on-topic,0,184,308,Just spoke to my parents stuck in Aratula. 100's people stuck there trying to head north/south. Both directione cut off by water #qldfloods
4,1441958401200,1,1,1,1,on-topic,952,109,306,@_aleeexsm the cyclone, tornado &amp; floods are coming your wat
5,1441958401203,1,1,1,1,on-topic,3,185,218,@ThatParawh0re its not that bad, we had it worse in 2011. Im just hoping the school gets flooded out and we don't have to go tomorrow either
6,1441958401203,0,1,1,0,off-topic,0,104,478,@Optus just checked modem too, no sync on up or downstream.
7,1441958402199,1,1,1,1,on-topic,996,175,378,Feel sorry for those who bought houses in flood zones after 2011 thinking it'll never happen again, particularly 1974-2011 #bigwet
8,1441958402200,1,1,1,1,on-topic,1,105,370,Leaving the gym now onto flood stricken roads. Wish me luck!
9,1441958402201,1,1,1,1,on-topic,1,149,352,My set up second night in a row #powerout #storm #nowater #candlelight @ My Bedroom http://t.co/HdLScyQu
10,1441958402201,0,1,1,0,off-topic,0,136,636,@Real_Liam_Payne its soo beautifull there...right now Im in lock down...tornado warnings :(
11,1441958403890,1,1,1,1,on-topic,1689,183,891,Poor Brisbane! Not again! Thinking of everyone whose being affected by floods at the moment. Northern NSW too. #bigwet #qldfloods #Grafton
12,1441958404202,1,1,1,1,on-topic,312,166,833,@memily nope they made it thru flooded wsters at Warwick and just got thru the range,  all traffic stopped at aratula now
13,1441958404203,1,1,1,1,on-topic,1,182,794,You better look like a drowned rat in gumboots @Magdalena_Roze .  See attached, there's rules about flood reporting. http://t.co/rvfxWzAb
14,1441958404892,1,1,1,1,on-topic,689,121,1252,No power, Elanora is at risk of flooding and I LIVE ON A FREAKING ISLAND!!!
15,1441958405211,1,1,1,1,on-topic,319,169,1237,The water is now touching the bottom of the bridge. #QLDfloods #floods #Australia  @ Fitzy's Waterford http://t.co/TQNYNNjy
16,1441958405213,1,1,1,1,on-topic,2,161,1195,Scary to think 5 days ago I was desperate to leave Bundaberg, now it's under water. Natural disasters are NOT cool!
17,1441958405226,0,1,1,0,off-topic,13,172,1169,RT @JenTrinh We literally bought all the passion pop in the store #class #deadstagram @ianncox @Ash_Bliss http://t.co/uuWsXMJW
18,1441958405227,1,1,1,1,on-topic,1,175,1092,@garethjs @nicodonnell Yeah, only had 2 days to update before expiry and we have the huge rain/damage here that made me too busy.
19,1441958405228,0,1,1,0,off-topic,1,119,1089,@na7attack I agree!!! I wish I had a pie now:) or was drunk lol or both!!
20,1441958405894,1,1,1,1,on-topic,666,179,1483,#bundabergfloods current situation at the bridge. Water is over the banks of the river #bigwet #bundaberg #flood http://t.co/IYa8iOfj
21,1441958406211,1,1,1,1,on-topic,317,155,1360,Channel 7 flood coverage heads &amp; shoulders above 9. Just reporting, not harassing people! Well done Ch 7!
22,1441958406213,1,1,1,1,on-topic,2,147,1324,@hamizaaah breaking news from Aussie: it's flooding everywhere and summer only today. Am very scared.
23,1441958406215,0,1,1,0,off-topic,2,139,1301,@thepaulconti Given very recent events, they probably thought you had 'protection' enough....
24,1441958406896,1,1,1,1,on-topic,681,186,1708,@tdlluvpit @dciphoenix @KenWahl1  Follow live coverage flood crisis in south-east Qld and northern NSW http://t.co/1slleL2A im QLD/NSWborder
25,1441958407219,1,1,1,1,on-topic,323,181,1684,@bricooper78 thanks mate, we are getting the tail end of a tropical cyclone &amp; now they are giving us tornado warnings! #iowaweather
26,1441958407220,1,1,1,1,on-topic,1,147,1664,Power and Internet connection just came back after 7 hours at Tarragindi. #BigWet #Brisbane #bnestorm
27,1441958407221,0,1,1,0,off-topic,1,186,1657,Server thunderstorm advice!! People in Brisbane, take care if you gonna have fun out!! Otherwise stay home! Stay safe!! http://t.co/jddOdHpv
28,1441958407223,0,1,1,0,off-topic,2,118,1540,Stay safe @mvgreen54 and @LeedaZambam   that storm is evil, just saying.
29,1441958407224,1,1,1,1,on-topic,1,176,1531,Out checking the incoming tide - sea's the calmest it's been for days. Hoping the tides don't flood us again. http://t.co/PAlzv9Hc
30,1441958407226,1,1,1,1,on-topic,2,175,1526,With a day like today, it's hard to believe there is major flooding going on in and around t @ New Farm Park http://t.co/YgMhY19d
31,1441958407905,0,1,1,0,off-topic,679,184,1980,Massive three way trade taking place in @NBA at the moment, Rudy Gay could take his game to genuine superstar potential in Toronto, elite.
32,1441958408224,1,1,1,1,on-topic,319,90,1967,@example Just wait until it starts flooding.
33,1441958408227,1,1,1,1,on-topic,3,138,1939,Starting to bubble up through the gutters in Torwood St. 9am #qldfloods http://t.co/nXUoJSoC
34,1441958408229,1,1,1,1,on-topic,2,133,1937,@kimelizabethh Now there's water coming through the roof. #Tornado http://t.co/jIZPvcRz
35,1441958408231,0,1,1,0,off-topic,2,183,1865,Like who the fuck as a drink up when you know it's going to piss with rain? Everyone is drunk and your area is flooded, HOW IS THAT SAFE?
36,1441958408233,1,1,1,1,on-topic,2,103,1860,#floods is now trending in #Brisbane http://t.co/XLYcmGe6
37,1441958408234,1,1,1,1,on-topic,1,177,1852,@jadecraven @AlisonFairleigh on the whole is worth it. Except when you suddenly have several massive flood events back to back. :-/
38,1441958408236,1,1,1,1,on-topic,2,167,1845,I live in a disaster zone. How very metal. Stay safe people! #TheBigWet #QldFloods  @ The Jizznasium http://t.co/COTC3Mf8
39,1441958408237,0,1,1,0,off-topic,1,166,1809,MT@annetreasure: Australia. Come for the fires, stay for the floods #negativetourismads and youll just die for the fauna
40,1441958408238,1,1,1,1,on-topic,1,110,1803,@mattyintheknow @trentleymc77 so true ! Now we wait to flood :-/
41,1441958408239,1,1,1,1,on-topic,1,186,1747,@Telstra Have Foxtel through Telstra Forest Lake 4078 also cable internet both down since the storm any updates on when they are back online
42,1441958408241,1,1,1,1,on-topic,2,132,1739,Finally no rain in Brisbane! Loads if trees fallen down, and flood warnings. Bad times
